,0
0,36555550.0
1,25830000.0
2,52630000.0
3,32100000.0
4,26340000.0
5,26440000.0
6,24860000.0
7,23310000.0
8,27125000.0
9,32100000.0
10,40000000.0
11,27624000.0
12,23065000.0
13,23065000.0
14,24350000.0
15,25933000.0
16,23000000.0
17,44800000.0
18,32000000.0
19,27460000.0
20,27560000.0
21,56485000.0
22,27446000.0
23,33600000.0
24,23730000.0
25,48500000.0
26,37850000.0
27,47000000.0
28,23100000.0
29,24500000.0
30,39500000.0
31,22800000.0
32,30623000.0
33,22249000.0
34,51500000.0
35,23900000.0
36,33200000.0
37,33975084.0
38,22531000.0
39,24300383.0
40,43800000.0
41,25790000.0
42,32999000.0
43,24860000.0
44,21000000.0
45,23100000.0
46,24840000.0
47,22600000.0
48,55900000.0
49,25600000.0
50,25300000.0
51,25000000.0
52,29196000.0
53,39100000.0
54,45210000.0
55,29270000.0
56,21300000.0
57,23095550.0
58,53500000.0
59,23095550.0
60,55350000.0
61,22500000.0
62,45170000.0
63,23095550.0
64,25800000.0
65,57800000.0
66,27800000.0
67,22975000.0
68,27400000.0
69,23504000.0
70,23850000.0
71,27150000.0
72,37150000.0
73,21950000.0
74,25500000.0
