,Title,Price,Surface m^2,Latitude,Longitude
0," cascina cassinazza, pantigliate",557550,35.998,45.4346412,9.370862
1," via xx settembre, serle",330000,25.5,45.55605,10.3808365
2," via franciacorta 74, , rovato",2630000,50.0,45.5775374,10.0035966
3," via franciacorta, , rovato",2100000,30.0,45.5775374,10.0035966
4," via casaglia, , travagliato",3440000,22.9,45.5160993,10.0892115
5," via casaglia, , travagliato",3440000,23.0,45.5160993,10.0892115
6," corso europa, , verdellino",1700000,23.16,45.5996848,9.5975092
7," strada brughiere, castel goffredo",2310000,21.0,45.2902368,10.4854663
8," via leon battista alberti, , castel goffredo",2125000,25.0,45.2922224,10.4725272
9," via montichiari, , ghedi",2000000,38.0,45.400647,10.2965341
10," via san donato, , rovato",3400000,24.224,45.575809,10.0012572
11," via gentile, fontanella",1100000,21.965,45.4643559,9.8053376
12," via roma, antegnate",1100000,21.965,45.4867205,9.7936659
13," via sicilia, , magnago",1350000,23.0,45.5764025,8.8276118
14," via maria cristina 3, , pero",3500000,22.433,45.5108074,9.0868628
15," via san giacomo 15, , zibido san giacomo",2000000,21.0,45.3646893,9.1115703
16," a4, cambiago",2800000,42.0,45.5849453,9.4459956
17," via vittorio veneto 93, , brembio",850000,37.0,45.2112255,9.5758352
18," via galliani, casale litta",3000000,29.0,45.7531725,8.7407741
19," via risorgimento, masate",600000,26.86,45.5631721,9.4604733
20," via risorgimento, masate",600000,26.86,45.5631721,9.4604733
21," via risorgimento, masate",700000,26.86,45.5631721,9.4604733
22," sp83, persichello, persico dosimo",1500000,54.985,45.1601204,10.0667535
23," via maroncelli, , busto garolfo",600000,26.846,45.5481342,8.8923968
24," via calci, , palazzolo sull'oglio",3600000,30.0,45.6030733,9.8944604
25,", , garbagnate milanese",2730000,21.0,45.5772279,9.080023
26," via roma 30, turbigo",3000000,45.5,45.5268899,8.7313797
27," via roma, turbigo",3000000,44.0,45.5268899,8.7313797
28," via galileo galilei, , guanzate",2100000,21.0,45.7138026,9.0206619
29," sp223, , guardamiglio",2500000,22.0,45.1099019,9.6797907
30," via ceresio 35, lonate pozzolo",1960000,28.0,45.5757679,8.7527142
31," via emilia 22, , guardamiglio",1500000,38.0,45.0958407,9.6886281
32," via redipuglia, varedo",2800000,20.0,45.597773,9.1764765
33," via valletta, usmate velate",850000,29.773,45.6521649,9.3435203
34,", cenate sopra",249000,22.0,45.7118675,9.8237131
35," via p. maffezzoni, persico dosimo",1500000,50.0,45.1758079,10.0898439
36," parco molgora, caponago",2400000,21.5,45.56421425,9.380213336671783
37,", certosa, milano",1200000,32.0,45.4086119,9.2659321
38,", , suzzara",2590084,31.385,44.991873,10.74309
39,", , suzzara",1669000,20.862,44.991873,10.74309
40,", , suzzara",2000383,22.3,44.991873,10.74309
41," via luigi marchesi 17, , inzago",2800000,41.0,45.5381386,9.4793084
42," via v veneto mattina, , trenzano",1790000,24.0,45.4779525,10.0164853
43,", gallaratese, milano",999000,32.0,45.4957237,9.1149555
44," via enrico fermi, curno",2760000,22.1,45.6812479,9.6074521
45," via mantova, 30, lonato del garda",1000000,20.0,45.4453756,10.5188301
46," via galileo galilei, guanzate",2100000,21.0,45.7138026,9.0206619
47,", ciserano",1840000,23.0,45.5852806,9.6008503
48," piazza san fermo, albiate",2600000,20.0,45.6563802,9.2532829
49," sp 185 ,, calvenzano",1700000,23.9,45.36039585,9.344159707067249
50,", ciserano",2300000,23.0,45.5852806,9.6008503
51,", pieve vecchia, manerba del garda",3000000,22.0,45.5643093,10.5455704
52,", , opera",1300000,27.896,45.373069,9.211149
53,", albano sant'alessandro",2100000,37.0,45.686482,9.770656
54," via vecchia di piadena, calvatone",600000,44.61,45.1263418,10.4352766
55,", san paolo",520000,28.75,45.370576,10.026767
56," via vigna alta , 280, torretta, martinetta, san grato, lodi",1300000,20.0,45.3208661,9.4797409
57," via umberto i 13, , dovera",1095550,22.0,45.3674364,9.5409358
58,", , sospiro",2500000,51.0,45.108571,10.157675
59," via umberto i 13, , dovera",1095550,22.0,45.3674364,9.5409358
60,", san giorgio bigarello",1350000,54.0,45.1805304,10.8717887
61,", , cornegliano laudense",1500000,21.0,45.286169,9.487957
62," via emilia, melegnano",1095550,22.0,45.3569404,9.3353075
63,", , boffalora sopra ticino",800000,25.0,45.4672571,8.8306109
64,", castrezzato",3800000,54.0,45.5125048,9.977855
65,", pagazzano",3000000,24.8,45.534277,9.671157
66," via tonale 64, albano sant'alessandro",1975000,21.0,45.683406,9.7768426
67," via giuseppe mazzini 59, , castiglione delle stiviere",800000,26.6,45.3662179,10.5151013
68," via borgo oleario, magherno",450000,23.054,45.2233903,9.3276651
69," via antonio gramsci 1, , busto garolfo",1350000,22.5,45.5443513,8.8770025
70," via monte grappa 11, , castel d'ario",950000,26.2,45.1948563,10.9794259
71," via ferdinando magellano 8, casone, marcallo con casone",1500000,35.65,45.495917,8.8821946
72," strada provinciale goitese, medole",1950000,20.0,45.3384824,10.5470029
73," sp121, brignano gera d'adda",1500000,24.0,45.5361249,9.6389851
