PROVINCE,Denominazione Comune,Popolazione al 1° gennaio - Totale,Latitude,Longitude
Bergamo,Adrara San Martino,2176,45.6999454,9.9489353
Bergamo,Adrara San Rocco,791,45.7139859,9.958705
Bergamo,Albano Sant'Alessandro,8287,45.686482,9.770656
Bergamo,Albino,17486,45.760661,9.7969489
Bergamo,Algua,657,45.826185,9.722152
Bergamo,Almè,5487,45.7370097,9.614785
Bergamo,Almenno San Bartolomeo,6440,45.742681,9.582251
Bergamo,Almenno San Salvatore,5586,45.7499556,9.5963684
Bergamo,Alzano Lombardo,13440,45.7336026,9.730494
Bergamo,Ambivere,2380,45.71958,9.55015
Bergamo,Antegnate,3163,45.486477,9.79146
Bergamo,Arcene,4803,45.575577,9.614054
Bergamo,Ardesio,3367,45.9375116,9.931158
Bergamo,Arzago d'Adda,2717,45.4815134,9.5616783
Bergamo,Averara,170,45.9886802,9.6313982
Bergamo,Aviatico,551,45.8003072,9.7716558
Bergamo,Azzano San Paolo,7567,45.6610392,9.6751805
Bergamo,Azzone,377,45.9785178,10.1126472
Bergamo,Bagnatica,4355,45.660881,9.781057
Bergamo,Barbata,688,45.474977,9.77736
Bergamo,Bariano,4228,45.5126464,9.7049249
Bergamo,Barzana,2013,45.7339859,9.5672642
Bergamo,Bedulita,703,45.7916524,9.55155
Bergamo,Berbenno,2410,45.814783,9.571049
Bergamo,Bergamo,119993,45.690417, 9.643743
Bergamo,Berzo San Fermo,1390,45.719384,9.903158
Bergamo,Bianzano,587,45.7745025,9.9208481
Bergamo,Blello,75,45.837784,9.571049
Bergamo,Bolgare,6433,45.635081,9.812858
Bergamo,Boltiere,6223,45.600878,9.578453
Bergamo,Bonate Sopra,10217,45.68338,9.559751
Bergamo,Bonate Sotto,6613,45.6667845,9.5613879
Bergamo,Borgo di Terzo,1159,45.7212356,9.8935702
Bergamo,Bossico,990,45.828388,10.045059
Bergamo,Bottanuco,5014,45.639878,9.506451
Bergamo,Bracca,724,45.8238863,9.7078713
Bergamo,Branzi,677,46.0053774,9.7599743
Bergamo,Brembate,8482,45.6039279,9.5555981
Bergamo,Brembate di Sopra,7862,45.716763,9.5794156
Bergamo,Brignano Gera d'Adda,6053,45.5455191,9.6489533
Bergamo,Brumano,114,45.855083,9.500547
Bergamo,Brusaporto,5580,45.6708455,9.7613544
Bergamo,Calcinate,6071,45.619721,9.7988771
Bergamo,Calcio,5389,45.5092097,9.8509786
Bergamo,Calusco d'Adda,8210,45.691379,9.472649
Bergamo,Calvenzano,4264,45.4949814,9.6012863
Bergamo,Camerata Cornello,573,45.898686,9.656349
Bergamo,Canonica d'Adda,4230,45.575677,9.541653
Bergamo,Capizzone,1192,45.784482,9.56775
Bergamo,Capriate San Gervasio,8160,45.612578,9.528752
Bergamo,Caprino Bergamasco,3038,45.7460253,9.4821556
Bergamo,Caravaggio,16170,45.4972605,9.6437404
Bergamo,Carobbio degli Angeli,4730,45.665182,9.829158
Bergamo,Carona,289,45.9574555,8.935792
Bergamo,Carvico,4645,45.703462,9.4815169
Bergamo,Casazza,3865,45.749184,9.907258
Bergamo,Casirate d'Adda,4057,45.4941243,9.5678078
Bergamo,Casnigo,3108,45.8159118,9.8681406
Bergamo,Cassiglio,112,45.966787,9.612147
Bergamo,Castel Rozzone,2822,45.552277,9.619855
Bergamo,Castelli Calepio,10394,45.63196645,9.896062873799924
Bergamo,Castione della Presolana,3361,45.907455,10.0350592
Bergamo,Castro,1258,45.8039529,10.060908
Bergamo,Cavernago,2653,45.625097,9.7616399
Bergamo,Cazzano Sant'Andrea,1646,45.8127326,9.8847039
Bergamo,Cenate Sopra,2528,45.7118675,9.8237131
Bergamo,Cenate Sotto,3913,45.6985993,9.8236884
Bergamo,Cene,4105,45.7836703,9.8254604
Bergamo,Cerete,1589,45.8543485,10.011019479322801
Bergamo,Chignolo d'Isola,3390,45.667579,9.527651
Bergamo,Chiuduno,6027,45.6508189,9.8480158
Bergamo,Cisano Bergamasco,6229,45.74248,9.470248
Bergamo,Ciserano,5458,45.5852806,9.6008503
Bergamo,Cividate al Piano,5029,45.554879,9.83096
Bergamo,Clusone,8537,45.887088,9.949656
Bergamo,Colere,1105,45.974292,10.082757
Bergamo,Cologno al Serio,11059,45.5797721,9.7077253
Bergamo,Colzate,1618,45.816027,9.8558653
Bergamo,Comun Nuovo,4393,45.6229111,9.6631272
Bergamo,Corna Imagna,930,45.830683,9.544848
Bergamo,Cornalba,290,45.8517289,9.7432339
Bergamo,Cortenuova,1937,45.538978,9.787859
Bergamo,Costa di Mezzate,3348,45.661981,9.793957
Bergamo,Costa Serina,874,45.8324196,9.7419373
Bergamo,Costa Valle Imagna,549,45.8050104,9.502141
Bergamo,Costa Volpino,8953,45.829888,10.098161
Bergamo,Covo,4165,45.5003219,9.7701068
Bergamo,Credaro,3524,45.660582,9.93106
Bergamo,Curno,7495,45.6915142,9.6109659
Bergamo,Cusio,216,45.9907873,9.6018874
Bergamo,Dalmine,23336,45.6472193,9.6019202
Bergamo,Dossena,883,45.880286,9.696751
Bergamo,Endine Gaiano,3367,45.792486,9.969058
Bergamo,Entratico,1961,45.7056148,9.8746256
Bergamo,Fara Gera d'Adda,7968,45.555676,9.537853
Bergamo,Fara Olivana con Sola,1313,45.49172015,9.737362446324912
Bergamo,Filago,3133,45.637578,9.556352
Bergamo,Fino del Monte,1119,45.8903679,9.9926194
Bergamo,Fiorano al Serio,2947,45.7998409,9.8422937
Bergamo,Fontanella,4712,45.469877,9.801961
Bergamo,Fonteno,553,45.7578026,10.0202068
Bergamo,Foppolo,172,46.0437409,9.7511844
Bergamo,Foresto Sparso,3045,45.690883,9.920059
Bergamo,Fornovo San Giovanni,3393,45.4979249,9.6769058
Bergamo,Fuipiano Valle Imagna,206,45.854284,9.528447
Bergamo,Gandellino,972,45.9915503,9.9465966
Bergamo,Gandino,5237,45.8115328,9.9031182
Bergamo,Gandosso,1445,45.658882,9.888859
Bergamo,Gaverina Terme,862,45.755784,9.886657
Bergamo,Gazzaniga,4934,45.7966425,9.8349553
Bergamo,Ghisalba,6133,45.5941934,9.753914
Bergamo,Gorlago,5143,45.6767028,9.8270544
Bergamo,Gorle,6546,45.7037349,9.7190224
Bergamo,Gorno,1491,45.8628946,9.8434163
Bergamo,Grassobbio,6417,45.6572304,9.7231068
Bergamo,Gromo,1153,45.96399,9.927054
Bergamo,Grone,865,45.727504,9.9112023
Bergamo,Grumello del Monte,7396,45.637181,9.876759
Bergamo,Isola di Fondra,166,45.9784906,9.7463873
Bergamo,Isso,637,45.4768363,9.7585339
Bergamo,Lallio,4146,45.66638,9.630053
Bergamo,Leffe,4300,45.800686,9.885456
Bergamo,Lenna,560,45.9439828,9.6786963
Bergamo,Levate,3717,45.625179,9.624154
Bergamo,Locatello,837,45.8345021,9.5332605
Bergamo,Lovere,5046,45.8168815,10.0752136
Bergamo,Lurano,2812,45.565677,9.640155
Bergamo,Luzzana,882,45.7163928,9.880496
Bergamo,Madone,3980,45.6499571,9.5479634
Bergamo,Mapello,6841,45.7089647,9.5475128
Bergamo,Martinengo,10798,45.5703685,9.767376
Bergamo,Medolago,2351,45.668579,9.49565
Bergamo,Mezzoldo,164,46.012403,9.664874
Bergamo,Misano di Gera d'Adda,2941,45.468775,9.621057
Bergamo,Moio de' Calvi,203,45.9520028,9.7002118
Bergamo,Monasterolo del Castello,1154,45.763185,9.931658
Bergamo,Montello,3265,45.672082,9.805657
Bergamo,Morengo,2471,45.5336039,9.7052776
Bergamo,Mornico al Serio,2909,45.59138,9.809259
Bergamo,Mozzanica,4424,45.476076,9.689258
Bergamo,Mozzo,7334,45.69868,9.608652
Bergamo,Nembro,11231,45.7439737,9.7592752
Bergamo,Olmo al Brembo,494,45.9696756,9.6486492
Bergamo,Oltre il Colle,974,45.889487,9.769252
Bergamo,Oltressenda Alta,147,45.9166987,9.9442319
Bergamo,Oneta,572,45.8715758,9.818917
Bergamo,Onore,914,45.891169,10.0099362
Bergamo,Orio al Serio,1752,45.6762274,9.6929555
Bergamo,Ornica,144,45.9889712,9.5794792
Bergamo,Osio Sopra,5255,45.6307873,9.5910634
Bergamo,Osio Sotto,12531,45.616078,9.589053
Bergamo,Pagazzano,2095,45.534277,9.671157
Bergamo,Paladina,4016,45.7306737,9.6079944
