,Title,Price,Surface m^2,Latitude,Longitude
0," cascina cassinazza, pantigliate",557550,35.998,45.4346412,9.370862
1," via xx settembre, serle",330000,25.5,45.55605,10.3808365
2," via franciacorta 74, , rovato",2630000,50.0,45.5747095,10.0028108
3," via franciacorta, , rovato",2100000,30.0,45.5747095,10.0028108
4," via casaglia, , travagliato",3440000,22.9,45.5169777,10.0880155
5," via casaglia, , travagliato",3440000,23.0,45.5169777,10.0880155
6," corso europa, , verdellino",1700000,23.16,45.6002542,9.5963618
7," strada brughiere, castel goffredo",2310000,21.0,45.2902368,10.4854663
8," via leon battista alberti, , castel goffredo",2125000,25.0,45.2922224,10.4725272
9," via franciacorta 74, , rovato",2100000,30.0,45.5747095,10.0028108
10," via montichiari, , ghedi",2000000,38.0,45.400647,10.2965341
11," via san donato, , rovato",3400000,24.224,45.5734549,10.000073
12," via roma, antegnate",1100000,21.965,45.486817,9.793709
13," via gentile, fontanella",1100000,21.965,45.4608252,9.8083546
14," via sicilia, , magnago",1350000,23.0,45.5758039,8.8227752
15," via maria cristina 3, , pero",3500000,22.433,45.5108074,9.0868628
16," via san giacomo 15, , zibido san giacomo",2000000,21.0,45.3662993,9.112936
17," a4, cambiago",2800000,42.0,45.584716,9.446114
18," via galliani, casale litta",3000000,29.0,45.7531725,8.7407741
19," via risorgimento, masate",600000,26.86,45.5608173,9.4599267
20," via risorgimento, masate",700000,26.86,45.5608173,9.4599267
21," sp83, persichello, persico dosimo",1500000,54.985,45.1601204,10.0667535
22," via maroncelli, , busto garolfo",600000,26.846,45.5481342,8.8923968
23," via calci, , palazzolo sull'oglio",3600000,30.0,45.6030733,9.8944604
24,", , garbagnate milanese",2730000,21.0,45.5772279,9.080023
25," via roma 30, turbigo",3000000,45.5,45.5251139,8.7281171
26," via vittorio veneto 93, , brembio",850000,37.0,45.2112255,9.5758352
27," via roma, turbigo",3000000,44.0,45.5251139,8.7281171
28," via galileo galilei, , guanzate",2100000,21.0,45.7138026,9.0206619
29," sp223, , guardamiglio",2500000,22.0,45.1099019,9.6797907
30," via emilia 22, , guardamiglio",1500000,38.0,45.1043582,9.6846674
31," via redipuglia, varedo",2800000,20.0,45.597773,9.1764765
32," via valletta, usmate velate",850000,29.773,45.6542388,9.3465759
33,", cenate sopra",249000,22.0,45.7118675,9.8237131
34," via p. maffezzoni, persico dosimo",1500000,50.0,45.1758079,10.0898439
35," parco molgora, caponago",2400000,21.5,45.56421425,9.380213336671783
36,", certosa, milano",1200000,32.0,45.4086119,9.2659321
37,", , suzzara",2590084,31.385,44.991873,10.74309
38,", , suzzara",1669000,20.862,44.991873,10.74309
39,", , suzzara",2000383,22.3,44.991873,10.74309
40," via luigi marchesi 17, , inzago",2800000,41.0,45.537958,9.4792084
41," via v veneto mattina, , trenzano",1790000,24.0,45.4779824,10.0202932
42,", gallaratese, milano",999000,32.0,45.4957237,9.1149555
43," via enrico fermi, curno",2760000,22.1,45.6811763,9.6063482
44," via mantova, 30, lonato del garda",1000000,20.0,45.4453756,10.5188301
45," via galileo galilei, guanzate",2100000,21.0,45.7138026,9.0206619
46,", ciserano",1840000,23.0,45.5852806,9.6008503
47," piazza san fermo, albiate",2600000,20.0,45.6563802,9.2532829
48,", celadina, bergamo",3900000,52.0,45.6930454,9.7074832
49," sp 185 ,, calvenzano",1700000,23.9,45.36039585,9.344159707067249
50,", ciserano",2300000,23.0,45.5852806,9.6008503
51,", pieve vecchia, manerba del garda",3000000,22.0,45.5643093,10.5455704
52,", , opera",1300000,27.896,45.373069,9.211149
53,", albano sant'alessandro",2100000,37.0,45.686482,9.770656
54," via vecchia di piadena, calvatone",600000,44.61,45.1235686,10.4416814
55,", san paolo",520000,28.75,45.370576,10.026767
56," via vigna alta , 280, torretta, martinetta, san grato, lodi",1300000,20.0,45.3208661,9.4797409
57," via umberto i 13, , dovera",1095550,22.0,45.3674364,9.5409358
58,", , sospiro",2500000,51.0,45.108571,10.157675
59," via umberto i 13, , dovera",1095550,22.0,45.3674364,9.5409358
60,", san giorgio bigarello",1350000,54.0,45.1805304,10.8717887
61,", , cornegliano laudense",1500000,21.0,45.286169,9.487957
62,", mantova",3920000,41.25,45.1692628,10.670836515673878
63," via emilia, melegnano",1095550,22.0,45.3576305,9.3345047
64,", , boffalora sopra ticino",800000,25.0,45.4672571,8.8306109
65,", castrezzato",3800000,54.0,45.5125048,9.977855
66,", pagazzano",3000000,24.8,45.534277,9.671157
67," via tonale 64, albano sant'alessandro",1975000,21.0,45.6827876,9.7822565
68," via giuseppe mazzini 59, , castiglione delle stiviere",800000,26.6,45.3662179,10.5151013
69," via borgo oleario, magherno",450000,23.054,45.2244987,9.3272181
70," via antonio gramsci 1, , busto garolfo",1350000,22.5,45.5443513,8.8770025
71," via monte grappa 11, , castel d'ario",950000,26.2,45.1948563,10.9794259
72," via ferdinando magellano 8, casone, marcallo con casone",1500000,35.65,45.495917,8.8821946
73," strada provinciale goitese, medole",1950000,20.0,45.3369348,10.5494136
74," sp121, brignano gera d'adda",1500000,24.0,45.5360633,9.6391054
