Comuni,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,53.80735487736197,37.20137133021127,14.54191123519706,14.54191123519706,23.04268800693933,23.04268800693933,29.562355331410103,61.84113421009854,60.99889896676133,14.54191123519706,42.89746335796564,14.616241732112181,26.599010452140014,28.75194175716379,88.63568387488579,70.28198589207352,74.94384541319072,41.13576465334718,93.96717954618796,41.050358163211605,41.050358163211605,60.72578875845057,83.87792556059698,11.574007978768718,68.91802637908816,96.92575765530636,61.644559083542006,96.92575765530636,72.09713100139686,68.89218873417383,69.36562090260607,61.109287649875604,47.07358420727392,9.813708500497647,59.309305725110136,46.72521429275196,62.269746092286745,100.25326197726785,100.25326197726785,100.25326197726785,40.730995110490994,25.298054749781716,68.74386749960041,26.691583565064303,52.6209565164461,72.09713100139686,29.913420952082255,54.26211632078178,18.76808447200751,60.37213221787383,29.913420952082255,48.78096239804308,67.9937598635336,13.92758252281636,74.74584338436627,37.12253337650807,55.79835091007871,48.75392876891677,67.74697265937009,48.75392876891677,92.30258902910296,58.37793749400697,81.57742310530038,61.15263903850342,90.79372125659555,20.963503496744792,28.391803450964684,13.086133932558651,57.63516923064654,71.73513399317406,85.13812747990515,98.06344203598069,86.03860188071667,61.79057735944957,30.211294892455182
1,55.30172989370318,37.22390628361006,15.861830284662227,15.861830284662227,24.104739162704767,24.104739162704767,30.870433233559062,62.49386808169708,61.66759699693757,15.861830284662227,43.655133992268034,15.953814264758545,28.334469617008484,30.484682325803806,89.62949040219503,71.47740638626367,76.3770530527075,42.35742181024763,94.62743636492748,42.35380130509482,42.35380130509482,62.1613452556704,84.93730814116263,13.30527689966685,69.97688522062369,97.9812801760813,63.37887641008256,97.9812801760813,72.8301299557618,70.61125495712083,71.08274264734544,62.153846336198235,48.013327118571,10.483724269737133,60.7108493124836,47.95895504453282,63.73276564830027,101.01423497950194,101.01423497950194,101.01423497950194,42.11219348914751,26.676295963997106,69.97997215983332,27.607389433031408,52.843424785800195,72.8301299557618,31.281760273784112,55.170683240232115,19.64717637861794,61.94214805745391,31.281760273784112,48.56632002890929,69.47129226373498,14.920657788878183,75.70376439815259,38.551572560683844,57.475271335242596,50.43322546707348,69.08747704328195,50.43322546707348,92.69357868409497,60.075387962925255,82.19184659215853,62.71977992185199,91.96577662354213,22.453135711185098,29.988927084792458,14.135714932615624,58.078506297732545,73.39824703528146,86.19994957201563,98.33976340538342,87.1831388694672,62.25253899762535,31.766348920220743
2,41.868552865601885,49.620182589178135,21.916358133870258,21.916358133870258,31.061492518603774,31.061492518603774,16.598748056181936,71.03663185568654,70.10922285881604,21.916358133870258,51.840029258902575,21.82156395855387,22.27409257889857,25.262878429104575,74.72320230873027,56.67244560603523,62.39186481474928,27.6541612586948,80.29510334732632,27.913461652906204,27.913461652906204,62.92536497157528,70.0170871877051,13.365748277453594,55.05688258818587,83.06070556993595,54.987947286097075,83.06070556993595,58.32352758441654,64.50411306475058,65.07649070506527,47.23319348238837,33.14604820117194,4.99462429834878,62.00654796417909,33.26720269491071,49.994350338395726,108.36051814697504,108.36051814697504,108.36051814697504,28.04726081988111,30.247892634207176,55.254262917582444,12.777497627337379,64.11641288969362,58.32352758441654,17.3473747878659,40.33887784265291,4.9608893613103735,49.18020137461116,17.3473747878659,61.772320048093064,55.8033678529427,0.0,81.62173881471827,40.397229905548606,46.54888717753954,39.73412926239539,71.01091969295429,39.73412926239539,102.69951147319428,49.66952385863558,90.78654282178556,49.916840303852254,77.11817031794372,25.1813023964119,18.610096822419585,0.9903625352774051,68.05390707393688,61.92884623593792,71.2799579140713,109.004455153509,72.30638112439684,72.06192937794549,19.60752494581149
3,49.12363910984884,50.76258667302856,26.142308574641827,26.142308574641827,35.302703717072426,35.302703717072426,23.68479949599435,74.92038186706974,74.04597003674209,26.142308574641827,55.80517730504877,26.123809950566827,30.45110584476301,33.352021534053094,78.43813024921309,61.80482806663805,68.98135783191967,33.55323276639517,81.94288361052057,34.348152217962514,34.348152217962514,70.01396242975491,74.16996767167197,19.090251412635478,59.32394320982749,87.11995624901728,63.479506606268345,87.11995624901728,60.4711240747431,72.93623153576662,73.50156993304822,51.494251464473614,36.919227276198534,5.809616065206582,68.9268906441139,39.06366990382526,56.92144519402641,112.99920223952567,112.99920223952567,112.99920223952567,34.97461171774056,35.91254590432902,60.664664559868676,17.23523427823122,66.20279358828552,60.4711240747431,24.747783086101176,43.77825475400608,10.235004475694641,56.77627426280523,24.747783086101176,62.138814694566726,62.74488690464075,8.497106129312915,86.8822815187078,46.920134216417395,54.788679344523075,48.05257574893047,77.7802812868021,48.05257574893047,105.76239467645065,57.99296125914018,94.70369260848048,57.48594579120541,81.9360392120994,30.971592880902712,27.005187876430348,8.733921439454218,71.0586538950271,69.96389091050253,75.4403969506908,111.61483079207989,76.98147288741195,75.18744586328047,27.8252796853388
4,51.39685554499318,59.3274524134604,35.45382615779098,35.45382615779098,44.612259463417494,44.612259463417494,26.954008820826527,84.16199478102718,83.29547848233759,35.45382615779098,65.07557958411284,35.43420031294096,38.143611447560566,41.17512623707579,75.18848380301485,60.55251911079897,69.72551734395987,34.35678993127847,76.52309269657712,35.85386989734484,35.85386989734484,78.78317983655063,71.48518543907677,28.18600908182378,57.03473189991358,84.1735123350517,69.32406372210565,84.1735123350517,55.82603115929572,79.71551912170327,80.31669126189786,49.39756709815981,34.857742299365505,14.954533133071974,77.78908774592587,39.41866618743679,58.43722656156521,122.30173198532718,122.30173198532718,122.30173198532718,37.19346069111322,45.12335952901496,59.80724290207265,18.458486113362525,75.03097292070827,55.82603115929572,28.395168797082786,40.9928272654841,14.848119383811238,59.56120930334707,28.395168797082786,70.26921210407042,64.17983663376194,15.98354740209944,96.18364544467636,55.930568699263915,59.27219418110543,52.923123702176696,86.72188919027816,52.923123702176696,114.80854789865671,62.7545111012535,103.93633413042825,60.20200583601237,79.97317791250333,40.14170086034553,32.69956063300339,16.61295384054735,80.13771427874457,73.63923144182495,72.74739258313494,120.5228152563186,74.89741740779736,84.2876156654847,32.89884888362401
5,38.60999760658198,62.85606033609381,35.145280399438526,35.145280399438526,44.19019550336077,44.19019550336077,15.273752712769774,84.08587672660666,83.14213413711583,35.145280399438526,64.92419338461119,35.03536095656174,31.107026359665515,34.20408677113341,64.11214098418894,48.14657684424028,56.79933300399438,21.414816812725473,67.84460348876816,22.994155757923373,22.994155757923373,73.19769448438191,59.95681911564026,26.344839696487124,45.19975344341271,72.85819729445497,58.54336262696047,72.85819729445497,46.190801416685304,69.9155066093506,70.55874398387685,37.41275951264259,22.773453547904293,16.457501061560666,72.57429031678559,26.488054486632734,45.50535108696715,120.97379341958181,120.97379341958181,120.97379341958181,24.515279699884076,42.71528072579988,47.23431568340303,6.242857430463438,77.45897398310919,46.190801416685304,16.906224914200585,29.472726601289285,8.700327003405876,46.880909411395436,16.906224914200585,74.85346345153219,51.238351795602796,13.34299615759478,93.89474234073768,51.857441024880856,47.45372153381521,41.49503223148536,81.72023109146643,41.49503223148536,115.93138579481035,51.09600122322623,103.7820361421832,47.496780935212016,67.98042938763702,37.68747818501113,22.964966873493246,14.333329492457713,81.32889536540348,61.240033522446474,61.22689394027357,122.30731554384982,62.96938869676556,85.31100854978642,22.42408422471952
6,37.99741914637127,65.45118651667798,37.64503334604614,37.64503334604614,46.65261376973686,46.65261376973686,15.875044337805686,86.50642186858381,85.55789481255766,37.64503334604614,67.36178872920617,37.5305092073201,32.86252084651329,35.939707889431794,61.871827797199224,46.35438734120288,55.55943524586418,20.504806207550768,65.30337620020543,22.345975779134324,22.345975779134324,74.99637726062642,57.82512544774565,28.799888847317472,43.14956264660185,70.67939332671094,59.09727247036984,70.67939332671094,43.7091302982871,70.77235256587882,71.42686468081244,35.407958796193846,20.777787277938298,19.05344730658783,74.43424137148588,25.306171532248484,44.56477735861646,123.2608731146206,123.2608731146206,123.2608731146206,24.13255806082735,45.02517120726363,45.55054403932966,7.0903234594247895,80.0200375798733,43.7091302982871,17.56170439880814,27.290728043339982,11.179800787633235,46.37502678542693,17.56170439880814,77.45572967550501,50.238633752439256,15.90665762287422,96.10543291965365,53.942515387804264,47.57848217374374,41.84911364877213,83.59498001552333,41.84911364877213,118.41220246782427,51.29075738414092,106.18146523171357,46.961027559029205,66.00621980816436,40.01745233034636,24.182346114651093,16.89677925448553,83.8322522809066,60.953071220042155,59.09401303079214,124.82273666140301,60.96810244929773,87.80217638425103,23.396165685180158
7,39.20686496529623,64.67281490498151,37.11296289386111,37.11296289386111,46.177884873164416,46.177884873164416,16.646036199485504,86.08822609045862,85.14610277007918,37.11296289386111,66.92104505103836,37.00615301344597,33.04064268569721,36.13244425907819,63.158890758060544,47.714512080399516,56.89085589918838,21.769613933743226,66.38499801480904,23.55351652184571,23.55351652184571,75.15125500389675,59.14314839574912,28.339350032025013,44.48529382807952,71.98450870615301,59.92543993722451,71.98450870615301,44.86437346300923,71.46781017699604,72.117095519374,36.751619356038,22.126191253783432,18.147004092144744,74.5448068484589,26.62311032014572,45.84751779078355,123.00050869736637,123.00050869736637,123.00050869736637,25.271336637340355,44.74114699636017,46.91224013489947,7.6870578104152685,79.35863306005457,44.86437346300923,18.314336171720385,28.60231186215725,10.6981768948162,47.56031743825784,18.314336171720385,76.60494636169341,51.53318992353413,15.260966148156468,95.9228392891681,53.873625724568676,48.56960253909413,42.752582633810874,83.69507751585137,42.752582633810874,117.90550835205944,52.25784563267153,105.79051151165551,48.154203356905846,67.35126495954954,39.7115578559819,24.677066162456786,16.249961124725413,83.28920855262352,62.081118661755525,60.411647465345574,124.25678958365103,62.309798103779634,87.27958912608801,24.01466546447879
8,43.45522004049224,54.27362977500337,27.570629557885372,27.570629557885372,36.78550911905514,36.78550911905514,18.124465232914094,76.7538774606562,75.84006459267339,27.570629557885372,57.55199211582925,27.497928502229936,27.87837360018515,30.930471063782925,72.69950396710458,55.84906104548191,63.09140584640931,27.61415100543731,76.83254595116188,28.48654244592868,28.48654244592868,68.9528026136194,68.34117124189129,19.312988230324166,53.46244831793837,81.31709024632717,59.32433880687866,81.31709024632717,55.14614034108527,69.46515372948268,70.06014178689507,45.62390257181765,31.09683927213073,7.629391551455928,68.06312000163979,33.1075152701738,51.12250157764163,114.28281918707555,114.28281918707555,114.28281918707555,29.23988188490394,36.278399262582845,54.69658294334237,11.265500073660034,69.210513825576,55.14614034108527,19.32672487896998,38.04525007960927,4.8507547738454875,51.25643858964778,19.32672487896998,66.0938711861034,56.94191904221372,6.097353152038065,87.64253507590956,46.49367738777577,49.87818733153227,43.30872621035558,77.08313981014216,43.30872621035558,108.19352416052236,53.22101432020871,96.52945538799071,51.94890042517988,76.01554421211134,31.216373303108124,22.63907251730744,6.934078228147467,73.49480564116816,64.75522080246509,69.6112266941931,114.34638235806952,71.07560810802616,77.5489513375512,23.086049926894354
9,34.62045122342944,67.09370038662001,38.69898889513311,38.69898889513311,47.51220289939936,47.51220289939936,13.745877031537434,87.131850700383,86.16710952863204,38.69898889513311,68.07566799054617,38.564511936168095,32.07630527361469,35.0928587228965,58.75743904166937,42.86392773037439,51.98556505539322,17.03746089508877,62.92610836882378,18.996037564574127,18.996037564574127,74.12467657009854,54.579110478233346,29.728842301459693,39.824593523299455,67.485574950525,56.56191967398304,67.485574950525,41.11283828062314,68.54414318030616,69.21068030406211,32.044128512321336,17.402578344190665,21.256296215581745,73.67803822373482,21.74826241026413,41.051168853336115,123.43256850735165,123.43256850735165,123.43256850735165,20.93528295872673,45.38278187612138,42.01926367142029,6.105969039268252,81.31769089767398,41.11283828062314,15.444618464693042,24.106758298999218,12.568385629735594,43.04106735549954,15.444618464693042,79.28687083429749,46.70639497382368,17.514649892602147,96.09051211640994,53.699547048768245,44.67302988452186,39.16315623304751,82.85328742762155,39.16315623304751,119.25227809032279,48.43622102147718,106.71511246588031,43.61073537506217,62.62257429340503,40.457015225654786,22.651668747994773,18.483505868423105,84.80000491917086,57.72984654934504,55.8492302859975,125.8220338609303,57.60420223390398,88.70969767647101,21.546637724902034
